Last raw reading: 294	Time since start: 700020microseconds
Last raw reading: 808	Time since start: 705020microseconds
Last raw reading: 706	Time since start: 710020microseconds
Last raw reading: 200	Time since start: 715020microseconds
Last raw reading: 61	Time since start: 720020microseconds
Last raw reading: 176	Time since start: 725020microseconds
Last raw reading: 794	Time since start: 730020microseconds
Last raw reading: 912	Time since start: 735020microseconds
Last raw reading: 329	Time since start: 740020microseconds
Last raw reading: 96	Time since start: 745020microseconds
Last raw reading: 550	Time since start: 750020microseconds
Last raw reading: 892	Time since start: 755020microseconds
Last raw reading: 704	Time since start: 760020microseconds
Last raw reading: 209	Time since start: 765020microseconds
Last raw reading: 144	Time since start: 770020microseconds
Last raw reading: 786	Time since start: 775020microseconds
Last raw reading: 945	Time since start: 780020microseconds
Last raw reading: 358	Time since start: 785021microseconds
Last raw reading: 104	Time since start: 790021microseconds
Last raw reading: 193	Time since start: 795021microseconds
Last raw reading: 684	Time since start: 800021microseconds
Last raw reading: 590	Time since start: 805021microseconds
Last raw reading: 160	Time since start: 810021microseconds
Last raw reading: 50	Time since start: 815021microseconds
Last raw reading: 407	Time since start: 820021microseconds
Last raw reading: 855	Time since start: 825021microseconds
Last raw reading: 932	Time since start: 830021microseconds
Last raw reading: 273	Time since start: 835021microseconds
Last raw reading: 232	Time since start: 840021microseconds
Last raw reading: 581	Time since start: 845021microseconds
Last raw reading: 850	Time since start: 850021microseconds
Last raw reading: 309	Time since start: 855021microseconds
Last raw reading: 90	Time since start: 860021microseconds
Last raw reading: 467	Time since start: 865021microseconds
Last raw reading: 205	Time since start: 870021microseconds
Last raw reading: 383	Time since start: 875021microseconds
Last raw reading: 816	Time since start: 880021microseconds
Last raw reading: 499	Time since start: 885021microseconds
Last raw reading: 185	Time since start: 890021microseconds
Last raw reading: 133	Time since start: 895021microseconds
Last raw reading: 43	Time since start: 900021microseconds
Last raw reading: 296	Time since start: 905021microseconds
Last raw reading: 828	Time since start: 910021microseconds
Last raw reading: 642	Time since start: 915021microseconds
Last raw reading: 454	Time since start: 920021microseconds
Last raw reading: 219	Time since start: 925021microseconds
Last raw reading: 140	Time since start: 930021microseconds
Last raw reading: 44	Time since start: 935021microseconds
Last raw reading: 204	Time since start: 940021microseconds
Last raw reading: 131	Time since start: 945021microseconds
Last raw reading: 165	Time since start: 950022microseconds
Last raw reading: 793	Time since start: 955022microseconds
Last raw reading: 768	Time since start: 960022microseconds
Last raw reading: 252	Time since start: 965022microseconds
Last raw reading: 75	Time since start: 970022microseconds
Last raw reading: 26	Time since start: 975022microseconds
Last raw reading: 621	Time since start: 980022microseconds
Last raw reading: 790	Time since start: 985022microseconds
Last raw reading: 682	Time since start: 990022microseconds
Last raw reading: 247	Time since start: 995022microseconds
Last raw reading: 309	Time since start: 1000022microseconds
Last raw reading: 759	Time since start: 1005022microseconds
Last raw reading: 287	Time since start: 1010022microseconds
Last raw reading: 224	Time since start: 1015022microseconds
Last raw reading: 593	Time since start: 1020022microseconds
Last raw reading: 702	Time since start: 1025022microseconds
Last raw reading: 503	Time since start: 1030022microseconds
Last raw reading: 258	Time since start: 1035022microseconds
Last raw reading: 498	Time since start: 1040022microseconds
Last raw reading: 271	Time since start: 1045022microseconds
Last raw reading: 87	Time since start: 1050022microseconds
Last raw reading: 649	Time since start: 1055022microseconds
Last raw reading: 806	Time since start: 1060022microseconds
Last raw reading: 720	Time since start: 1065022microseconds
Last raw reading: 531	Time since start: 1070022microseconds
Last raw reading: 449	Time since start: 1075022microseconds
Last raw reading: 454	Time since start: 1080022microseconds
Last raw reading: 289	Time since start: 1085022microseconds
Last raw reading: 140	Time since start: 1090022microseconds
Last raw reading: 612	Time since start: 1095022microseconds
Last raw reading: 697	Time since start: 1100022microseconds
Last raw reading: 615	Time since start: 1105022microseconds
Last raw reading: 549	Time since start: 1110023microseconds
Last raw reading: 536	Time since start: 1115023microseconds
Last raw reading: 551	Time since start: 1120023microseconds
Last raw reading: 517	Time since start: 1125023microseconds
Last raw reading: 541	Time since start: 1130023microseconds
Last raw reading: 531	Time since start: 1135023microseconds
Last raw reading: 529	Time since start: 1140023microseconds
Last raw reading: 581	Time since start: 1145023microseconds
Last raw reading: 645	Time since start: 1150023microseconds
Last raw reading: 656	Time since start: 1155023microseconds
Last raw reading: 660	Time since start: 1160023microseconds
Last raw reading: 708	Time since start: 1165023microseconds
Last raw reading: 730	Time since start: 1170023microseconds
Last raw reading: 727	Time since start: 1175023microseconds
Last raw reading: 795	Time since start: 1180023microseconds
Last raw reading: 781	Time since start: 1185023microseconds
Last raw reading: 764	Time since start: 1190023microseconds
Last raw reading: 754	Time since start: 1195023microseconds
Last raw reading: 776	Time since start: 1200023microseconds
Last raw reading: 773	Time since start: 1205023microseconds
Last raw reading: 809	Time since start: 1210023microseconds
Last raw reading: 775	Time since start: 1215023microseconds
Last raw reading: 765	Time since start: 1220023microseconds
Last raw reading: 827	Time since start: 1225023microseconds
Last raw reading: 803	Time since start: 1230023microseconds
Last raw reading: 746	Time since start: 1235023microseconds
Last raw reading: 885	Time since start: 1240023microseconds
Last raw reading: 852	Time since start: 1245023microseconds
Last raw reading: 821	Time since start: 1250023microseconds
Last raw reading: 864	Time since start: 1255023microseconds
Last raw reading: 775	Time since start: 1260023microseconds
Last raw reading: 822	Time since start: 1265023microseconds
Last raw reading: 849	Time since start: 1270024microseconds
Last raw reading: 784	Time since start: 1275024microseconds
Last raw reading: 817	Time since start: 1280024microseconds
Last raw reading: 794	Time since start: 1285024microseconds
Last raw reading: 750	Time since start: 1290024microseconds
Last raw reading: 764	Time since start: 1295024microseconds
Last raw reading: 816	Time since start: 1300024microseconds
Last raw reading: 797	Time since start: 1305024microseconds
Last raw reading: 781	Time since start: 1310024microseconds
Last raw reading: 701	Time since start: 1315024microseconds
Last raw reading: 750	Time since start: 1320024microseconds
Last raw reading: 732	Time since start: 1325024microseconds
Last raw reading: 722	Time since start: 1330024microseconds
Last raw reading: 674	Time since start: 1335024microseconds
Last raw reading: 691	Time since start: 1340024microseconds
Last raw reading: 605	Time since start: 1345024microseconds
Last raw reading: 673	Time since start: 1350024microseconds
Last raw reading: 724	Time since start: 1355024microseconds
Last raw reading: 697	Time since start: 1360024microseconds
Last raw reading: 671	Time since start: 1365024microseconds
Last raw reading: 637	Time since start: 1370024microseconds
Last raw reading: 605	Time since start: 1375024microseconds
Last raw reading: 605	Time since start: 1380024microseconds
Last raw reading: 571	Time since start: 1385024microseconds
Last raw reading: 598	Time since start: 1390024microseconds
Last raw reading: 568	Time since start: 1395024microseconds
Last raw reading: 548	Time since start: 1400024microseconds
Last raw reading: 540	Time since start: 1405024microseconds
Last raw reading: 540	Time since start: 1410024microseconds
Last raw reading: 554	Time since start: 1415024microseconds
Last raw reading: 514	Time since start: 1420024microseconds
Last raw reading: 530	Time since start: 1425024microseconds
Last raw reading: 541	Time since start: 1430025microseconds
Last raw reading: 518	Time since start: 1435025microseconds
Last raw reading: 501	Time since start: 1440025microseconds
Last raw reading: 503	Time since start: 1445025microseconds
Last raw reading: 453	Time since start: 1450025microseconds
Last raw reading: 436	Time since start: 1455025microseconds
Last raw reading: 473	Time since start: 1460025microseconds
Last raw reading: 531	Time since start: 1465025microseconds
Last raw reading: 498	Time since start: 1470025microseconds
Last raw reading: 253	Time since start: 1475025microseconds
Last raw reading: 105	Time since start: 1480025microseconds
Last raw reading: 367	Time since start: 1485025microseconds
Last raw reading: 658	Time since start: 1490025microseconds
Last raw reading: 693	Time since start: 1495025microseconds
Last raw reading: 681	Time since start: 1500025microseconds
Last raw reading: 518	Time since start: 1505025microseconds
Last raw reading: 314	Time since start: 1510025microseconds
Last raw reading: 245	Time since start: 1515025microseconds
Last raw reading: 492	Time since start: 1520025microseconds
Last raw reading: 681	Time since start: 1525025microseconds
Last raw reading: 645	Time since start: 1530025microseconds
Last raw reading: 375	Time since start: 1535025microseconds
Last raw reading: 106	Time since start: 1540025microseconds
Last raw reading: 155	Time since start: 1545025microseconds
Last raw reading: 763	Time since start: 1550025microseconds
Last raw reading: 778	Time since start: 1555025microseconds
Last raw reading: 637	Time since start: 1560025microseconds
Last raw reading: 263	Time since start: 1565025microseconds
Last raw reading: 82	Time since start: 1570025microseconds
Last raw reading: 537	Time since start: 1575025microseconds
Last raw reading: 846	Time since start: 1580025microseconds
